company,year,asset/equity,cash&equi_to_asset,a/w,size,asset/lia,industry
FSO,2019.0,1.0888057330192413,0.028828923260254435,2293997088.6444445,24.44393334445566,12.260534269598677,Công nghiệp
FSO,2020.0,1.0759185926296957,0.03399170939180056,2160366188.96,24.38391533412138,14.172003923698247,Công nghiệp
FSO,2021.0,1.0413410803665928,0.020859047344411023,1938727896.291111,24.275669629304463,25.18901468303397,Công nghiệp
FSO,2022.0,1.046487421324661,0.018707550188148177,1913420038.4333332,24.26252983176258,22.511195319184274,Công nghiệp
FSO,2023.0,1.0503239832147993,0.012696078570760255,1880328039.1966665,24.245083845426954,20.87124102898757,Công nghiệp
FSO,2024.0,1.0315927124029594,0.006572268387453557,1787816456.05,24.194632613139888,32.652869410045625,Công nghiệp
FT1,2016.0,2.127123981388232,0.05615181535440799,203402809.87990883,26.131033316315182,1.887213843829621,Công nghiệp
FT1,2017.0,2.3855116182377833,0.04718204587300098,234108523.11057428,26.271629800068002,1.7217550447335035,Công nghiệp
FT1,2018.0,2.3410841815963925,0.004334074779566186,206119065.7169918,26.144299008979687,1.7456653457873355,Công nghiệp
FT1,2019.0,2.6562312509046406,0.016242713496545345,212684048.1922972,26.175652740892392,1.6037804198259122,Công nghiệp
FT1,2020.0,2.5515512334233605,0.08887989323945403,197757575.19114858,26.10288693106665,1.6445162611830666,Công nghiệp
FT1,2021.0,2.0478774677633056,0.14381863033453762,164167620.989371,25.91673300330542,1.9543100512834766,Công nghiệp
FT1,2022.0,2.1024569842851015,0.004686586168322374,161237972.31631723,25.89872638085264,1.9070648689739669,Công nghiệp
FT1,2023.0,2.5841047099148375,0.007767472807825241,210272015.88268003,26.16424702449327,1.6312714012786191,Công nghiệp
FT1,2024.0,2.3306114329308993,0.055554216814405026,166418705.62044665,25.930351953898573,1.7515342009329715,Công nghiệp
FTI,2016.0,1.5786652512967754,0.4248911110924261,3293079845.3221426,24.554146416668797,2.7281148259015433,Hàng Tiêu dùng
FTI,2017.0,1.3350095679044847,0.32086656765300103,2720394417.95,24.363100042982655,3.9849893728560986,Hàng Tiêu dùng
FTI,2018.0,1.336500532630677,0.3727163503028122,1653012063.5192857,23.86492228337194,3.9717634982097945,Hàng Tiêu dùng
FTI,2019.0,1.3139520922733279,0.10090326990371974,1512481230.0,23.776074667537397,4.185199349235093,Hàng Tiêu dùng
FTI,2020.0,1.281740204337285,0.031339558194316795,1609282468.575,23.838111574568735,4.549369186950866,Hàng Tiêu dùng
FTI,2021.0,1.2396758748131835,0.03311130925094642,1788588655.2628572,23.943750014708602,5.1723014499454925,Hàng Tiêu dùng
FTI,2022.0,2.297188282431378,0.0681971097640006,1939349084.7,24.02467556002267,1.770898113669093,Hàng Tiêu dùng
FTI,2023.0,1.2369481310480663,0.02194355523741652,1686487785.3799999,23.884971299512127,5.2203329293074034,Hàng Tiêu dùng
FTI,2024.0,1.0762236677248078,0.13415165891893285,5575812210.2464285,25.080761161245785,14.119284729387795,Hàng Tiêu dùng
FTM,2016.0,2.7868225380119522,0.004385157645995724,2758411675.7960787,27.678092123960777,1.559652667641307,Hàng Tiêu dùng
FTM,2017.0,2.95639886831285,0.07408805254021096,3090286590.7421055,27.791700924089515,1.5111432112319587,Hàng Tiêu dùng
FTM,2018.0,3.160654809664992,0.05116390311603324,3232978766.818816,27.836841020749056,1.4628226570606389,Hàng Tiêu dùng
FTM,2019.0,3.0223714850913947,0.06920623466928995,3006152433.564869,27.764098089481557,1.4944689971015928,Hàng Tiêu dùng
FTM,2020.0,3.4523204063753647,0.007744110525463581,2648474124.318474,27.63742076168428,1.4077770577614053,Hàng Tiêu dùng
FTM,2021.0,4.765479580298729,0.0010342646063480547,2431107700.698474,27.551784087063947,1.2655704216886676,Hàng Tiêu dùng
FTM,2022.0,15.597241665848031,0.004293324104500469,2179858847.215263,27.442697215388918,1.0685060933354016,Hàng Tiêu dùng
FTM,2023.0,-2.5841882869709987,0.0028713528147957636,1516726453.3878944,27.07999145300258,0.7209968004094167,Hàng Tiêu dùng
FTM,2024.0,-1.1066412782459236,0.0013893873665211036,1173512915.6835,26.823438832038892,0.5253107349948819,Hàng Tiêu dùng
FTV,2017.0,3.8062133133195286,0.0005693422590789931,542457410.6917441,26.987884746552492,1.3563520974166712,Nguyên vật liệu
FTV,2018.0,2.1709783034004833,0.010509012671330099,824928724.656677,27.407072158103222,1.8539867878815794,Nguyên vật liệu
FTV,2019.0,2.501321044578636,0.00038301307721660797,1126893763.1910732,27.718995414315913,1.6660800523719177,Nguyên vật liệu
FTV,2020.0,2.18604829251312,0.012822177780909627,1083630037.177059,27.679846999484386,1.8431359889074148,Nguyên vật liệu
FTV,2021.0,2.1768380380724786,0.0060508388113679175,1092353275.682229,27.687864786371453,1.8497346003855224,Nguyên vật liệu
FTV,2022.0,2.0555004038924,0.010768601829982431,952415796.5065014,27.550776870331394,1.947417922638656,Nguyên vật liệu
FTV,2023.0,2.2401056202709824,0.00861326196811412,792563029.8850155,27.367047205423138,1.8063829271102605,Nguyên vật liệu
FTV,2024.0,1.9424015019127232,0.0286483599392992,849537717.3764706,27.43646750948405,2.06111885217752,Nguyên vật liệu
