in_stock_lag1,invest_nav_lag1,long_receive_lag1,long_liability_lag1,other_long_asset_lag1,cwip_lag1,other_short_asset_lag1,long_invest_lag1,other_fund_lag1,gov_own_lag1,for_own_lag1,roe_lag1,expense_lag1,company,year,roe
0.0,0.0,1301512147.08,9862386685.17,24668588584.019997,0.0,887439875.91,93587444999.99998,0.0,0.0,0.0,0.1031,25967438372.25,ABR,2024.0,0.0645
20310750198.199997,0.0,139916476000.0,1096669700.0,306528274.5,861000000.0,708475107.1999999,47600000000.0,0.0,0.0,0.0,0.0526,300238627124.8,ABS,2017.0,0.0892
31134049370.010002,0.0,133920055600.00002,996077610.0,255986709.72000003,824100000.0,755394791.0400001,45560000000.0,0.0,0.0,0.0,0.0892,366211207990.4101,ABS,2018.0,0.0832
5942474467.8,0.0,129922442000.0,654351750.0,340216873.1,799500000.0,2679643185.05,44200000000.0,0.0,0.0,0.0,0.0832,302067483825.89996,ABS,2019.0,0.0853
12482674442.28,0.0,139482000000.0,331825410.0,566762044.59,0.0,1807469960.94,42840000000.0,0.0,0.0,0.0,0.0853,474114380963.58,ABS,2020.0,0.1142
3252368488.74,0.0,137268000000.0,181350000.0,586719016.28,0.0,431758244.92,42160000000.0,0.0,0.0,1.0,0.1142,642964115249.06,ABS,2021.0,0.096
12121974703.199999,4582200000.0,132840000000.0,235500000.0,476868706.2,0.0,534794809.79999995,40800000000.0,0.0,0.0,0.0,0.096,693587960272.2,ABS,2022.0,0.0246
2979813353.3999996,4429460000.0,128411999999.99998,682950000.0,270920706.85999995,0.0,364129849.29999995,39440000000.0,0.0,0.0,0.0,0.0246,891847132234.6,ABS,2023.0,0.0091
2132183594.0399997,10530018793.169998,203504249999.99997,534374999.99999994,120856237.02,0.0,255546091.32,38760000000.0,0.0,0.0,0.0,0.0091,587751470754.36,ABS,2024.0,0.0027
97421780813.03,0.0,0.0,3828835903.75,22172597297.379997,725239053.76,5068841860.48,1420000000.0,0.0,0.0,1.0,0.1758,278437615391.51,ABT,2016.0,0.1153
77518359258.2,0.0,0.0,3126161150.0,19716264750.0,784734706.0,3643432936.5,0.0,0.0,0.0,0.0,0.1153,262020810363.89996,ABT,2017.0,0.0689
63547505419.380005,0.0,0.0,2459139357.5,20616175527.45,2061515707.0500002,4351077277.97,120980188485.0,0.0,0.0,0.0,0.0689,244704263113.51,ABT,2018.0,0.162
79748613156.55,0.0,0.0,3350193323.75,18152569659.25,1384682168.3500001,3108631316.05,121681548950.0,0.0,0.0,0.0,0.162,219417819429.25,ABT,2019.0,0.1169
102240948589.29,0.0,0.0,3238790625.0,18087499944.99,6131320413.12,1037391250.14,117937501290.0,0.0,0.0,1.0,0.1169,210740486166.62997,ABT,2020.0,0.0336
